date,adjusted_close,volume,Chaikin A/D,ADX,ATR,CCI,EMA,MACD,MACD_Hist,MACD_Signal,OBV,ROC,RSI,SAR,SlowD,SlowK,MFI,ADOSC,WILLR,ULTOSC,BOP,symbol
6/26/2015,176.7786753,104174840,26072403989,14.9334,1.429,-7.7458,177.0236,0.1715,0.0284,0.1431,14649216829,0.4743,49.2208,175.0444,69.4862,57.5288,43.4479,-53661806.88,-45.5169,47.4231,-0.2746,SPY
6/29/2015,173.0477104,202621332,25882390206,16.268,1.6019,-174.6239,176.645,-0.1663,-0.2475,0.0812,14446595497,-1.2559,36.0601,179.0442,54.5847,36.57,40.86,-114294044.2,-98.0716,32.3791,-0.5733,SPY
6/30/2015,173.4014362,182925106,25808861487,17.524,1.6102,-164.8398,176.336,-0.4008,-0.3857,-0.0152,14629520603,-1.5952,37.7592,178.9219,38.5614,21.5854,31.6286,-152103275.1,-91.6553,30.75,-0.6716,SPY
7/1/2015,174.8163393,135979873,25859738311,18.2024,1.6239,-91.1255,176.1913,-0.4672,-0.3616,-0.1056,14765500476,-0.9524,44.1524,178.6805,24.0074,13.8667,34.0282,-137555037.2,-68.6731,33.5183,-0.1088,SPY
7/2/2015,174.6057883,104373652,25828283237,18.667,1.5957,-75.2192,176.0403,-0.5306,-0.34,-0.1906,14661126824,-2.0577,43.4373,178.4488,19.3261,22.5262,40.7976,-129106914.3,-72.093,33.5451,-0.5137,SPY
7/6/2015,174.0583555,117975369,25837187039,19.6082,1.6093,-100.0076,175.8516,-0.6179,-0.3419,-0.276,14543151455,-1.9639,41.5532,178.2264,20.8253,26.083,40.9677,-111080844.1,-80.985,37.3608,0.4245,SPY
7/7/2015,175.1869092,173820249,25997307170,20.9775,1.7386,-81.7416,175.7883,-0.5893,-0.2506,-0.3387,14716971704,-1.8311,46.6873,178.0128,26.5267,30.9709,43.8592,-42660969.76,-54.0094,48.5881,0.2586,SPY
7/8/2015,172.2560384,164020059,25869881227,22.249,1.8406,-110.6204,175.4519,-0.7939,-0.3642,-0.4297,14552951645,-3.5463,37.4794,177.6462,26.7911,23.3195,35.9987,-51337369.16,-95.0472,41.9204,-0.753,SPY
7/9/2015,172.4834335,144113107,25729119588,22.9665,1.8788,-84.5916,175.1691,-0.927,-0.3978,-0.5292,14697064752,-2.7125,38.493,177.3016,24.6612,19.6934,35.0702,-95007566.08,-91.8632,42.7075,-0.8682,SPY
7/10/2015,174.7405409,129456890,25815851432,23.1507,1.9359,-43.5069,175.1283,-0.8407,-0.2492,-0.5915,14826521642,-1.12,47.5776,176.9776,20.2076,17.6101,42.3543,-76639099.42,-60.2594,48.8351,0.0627,SPY
7/13/2015,176.6607667,106069400,25890983924,22.0358,1.9432,56.3966,175.2743,-0.6103,-0.0151,-0.5953,14932591042,-0.0667,53.8259,171.9023,25.2905,38.5682,43.4566,-38251743.03,-32.1729,51.1516,0.8021,SPY
7/14/2015,177.4692828,81709575,25934173270,20.5734,1.8886,102.3324,175.4833,-0.3584,0.1895,-0.5479,15014300617,2.5551,56.1935,171.9998,39.7903,63.1925,47.6643,-5328328.442,-17.9901,53.273,0.7143,SPY
7/15/2015,177.3934844,97914141,25929435489,19.3413,1.8283,112.8254,175.6652,-0.163,0.3079,-0.4709,14916386476,2.3022,55.9041,172.2297,60.6726,80.2572,52.9182,7117258.88,-9.0656,53.9673,-0.0806,SPY
7/16/2015,178.7746994,106683266,26027228483,18.7413,1.7982,149.3379,175.9614,0.1022,0.4585,-0.3563,15023069742,2.2643,59.9516,172.5724,78.103,90.8594,58.5002,42677564.56,-0.3663,52.4322,0.5556,SPY
7/17/2015,178.9431402,89029973,26097265395,18.3138,1.7148,134.9894,176.2454,0.3222,0.5428,-0.2206,15112099715,2.4841,60.4286,173.0706,89.2189,96.5401,63.9097,75629655.77,-0.9479,61.376,0.24,SPY
7/20/2015,179.0694709,70446821,26086371557,18.2433,1.6507,117.563,176.5143,0.501,0.5773,-0.0763,15182546536,2.879,60.8057,173.6646,94.9678,97.5039,72.992,78768412.19,-6.1742,70.2736,-0.134,SPY
7/21/2015,178.3451752,77965048,26051142906,17.6045,1.614,82.9795,176.6887,0.5776,0.5231,0.0545,15104581488,1.8028,57.427,174.3698,95.4838,92.4073,77.6318,61682567.84,-15.656,65.2082,-0.4963,SPY
7/22/2015,177.9493392,88667920,26043082186,16.6757,1.5517,56.9712,176.8088,0.5994,0.4359,0.1635,15015913568,3.3051,55.6084,174.9903,91.8962,85.7773,71.1923,46520623.53,-20.8379,59.2647,0.4091,SPY
7/23/2015,176.9808043,90509128,25989729436,15.8693,1.5551,30.1449,176.8251,0.5324,0.2952,0.2373,14925404440,2.6074,51.3255,175.5364,84.9492,76.663,65.028,19112987.62,-33.5171,52.4646,-0.7316,SPY
7/24/2015,175.1279549,117754979,25900881817,16.2183,1.6107,-29.9748,176.6635,0.3261,0.0711,0.255,14807649461,0.2217,44.2967,179.5411,75.0214,62.624,64.9891,-22106468.52,-57.7729,45.2722,-0.852,SPY
7/27/2015,174.1173098,132361082,25841547539,17.0989,1.6003,-81.9088,176.421,0.0801,-0.14,0.22,14675288379,-1.4397,40.9987,179.4471,61.6061,45.5312,55.2769,-55838382.84,-72.1165,36.0924,-0.7241,SPY
7/28/2015,176.2817748,123544845,25947704591,16.9437,1.652,-47.4877,176.4077,0.0591,-0.1288,0.1879,14798833224,-0.6691,49.6456,179.2178,49.84,41.3647,65.1538,-30784341.9,-46.0166,45.3892,0.563,SPY
7/29/2015,177.511393,105791255,26020474298,15.9387,1.6381,7.734,176.5129,0.1401,-0.0382,0.1783,14904624479,0.0665,53.7889,178.9976,45.919,50.8613,64.2897,5417612.766,-29.2831,50.652,0.7457,SPY
7/30/2015,177.5535032,91304374,26088952578,15.0056,1.6173,-2.1422,176.612,0.2053,0.0216,0.1837,14995928853,-0.6831,53.9287,178.7862,51.9193,63.5321,63.359,41523536.86,-34.104,54.3976,0.4125,SPY
7/31/2015,177.2418876,103266857,26032115781,13.9698,1.5794,8.729,176.672,0.2292,0.0364,0.1928,14892661996,-0.9507,52.6591,178.5833,60.038,65.7207,63.2998,34434839.68,-39.4509,51.2179,-0.7519,SPY
8/3/2015,176.6355005,113965728,26049089400,13.729,1.5797,-47.5604,176.6685,0.1969,0.0033,0.1936,14778696268,-1.3592,50.1831,178.3885,62.7053,58.8632,56.0654,33805175.12,-49.8555,53.8311,-0.3883,SPY
8/4/2015,176.2901968,81820823,26025953857,13.5055,1.5541,-50.1636,176.6325,0.1418,-0.0414,0.1832,14696875445,-1.1522,48.7767,178.2014,58.7405,51.6378,49.6891,23113078.18,-55.7803,57.9313,-0.2621,SPY
8/5/2015,176.9471161,85786817,25980345676,12.646,1.5628,5.9848,176.6624,0.1495,-0.027,0.1765,14782662262,-0.5632,51.5582,178.0219,53.4843,49.9518,48.8906,2126155.579,-44.5087,57.4181,-0.2215,SPY
8/6/2015,175.4732587,116030803,25922958600,12.8929,1.6178,-70.4131,176.5492,0.0362,-0.1123,0.1484,14666631459,-0.8518,45.5783,177.9662,48.298,43.3044,41.5652,-24912214.67,-69.7977,47.7285,-0.7004,SPY
8/7/2015,175.1111108,117857956,25973469153,13.4613,1.5913,-115.5079,176.4122,-0.0819,-0.1843,0.1024,14548773503,-0.0096,44.2211,177.9662,43.4533,37.1036,35.3189,-17637079.89,-74.3827,47.4917,-0.1633,SPY
8/10/2015,177.3934844,80270676,26049119934,12.6599,1.6431,42.2092,176.5057,0.0086,-0.075,0.0836,14629044179,1.8816,53.5988,177.7961,41.8171,45.0433,40.8396,11013185.54,-20.6897,52.9655,0.9712,SPY
8/11/2015,175.734342,126081377,26055755796,12.5973,1.6983,-49.6995,176.4322,-0.0529,-0.1092,0.0563,14502962802,-0.3105,47.3648,177.6327,43.9884,49.8182,39.8458,23843960.61,-55.4731,51.3113,-0.1813,SPY
8/12/2015,175.9533151,172123672,26207843908,13.4363,1.8044,-90.252,176.3866,-0.0831,-0.1115,0.0284,14675086474,-0.8777,48.2208,177.476,51.8754,60.7646,37.8133,75316953.36,-41.5435,58.8519,0.4788,SPY
8/13/2015,175.7680302,89383253,26198557336,13.9886,1.7682,-28.0189,176.3277,-0.1205,-0.1192,-0.0014,14585703221,-1.0056,47.5167,177.2047,54.3973,52.6091,44.3064,86572272.71,-45.156,60.2327,-0.0195,SPY
8/14/2015,176.323885,72786528,26253875098,14.5015,1.7171,-21.5102,176.3273,-0.1042,-0.0822,-0.0219,14658489749,-0.5179,49.8811,176.9497,57.6781,59.6606,50.9646,100907620.8,-34.3186,63.4972,0.744,SPY
8/17/2015,177.3345301,79072643,26330995330,14.3517,1.7406,30.0154,176.4232,-0.0095,0.0099,-0.0194,14737562392,0.3957,53.9439,172.9551,60.3023,68.6371,49.4668,122136917,-14.6141,71.1043,0.7613,SPY
8/18/2015,176.8039414,71692678,26292954317,14.1609,1.6752,60.2209,176.4595,0.0224,0.0335,-0.0111,14665869714,0.2914,51.5799,173.0432,67.8891,75.3695,48.2272,107614314.3,-24.9589,69.0418,-0.3367,SPY
8/19/2015,175.4143044,172864412,26240965020,14.9521,1.7156,-60.2013,176.36,-0.0637,-0.0421,-0.0216,14493005302,-0.8663,45.9058,173.2189,71.1549,69.4581,39.412,75348081.12,-52.0525,61.2338,-0.3045,SPY
8/20/2015,171.8180921,194327884,26056375663,16.7298,1.8571,-250.7691,175.9274,-0.4173,-0.3166,-0.1007,14298677418,-2.083,35.1343,177.4356,62.1062,41.491,30.6028,-3434544.27,-98.5155,52.7197,-0.5695,SPY
8/21/2015,166.4448289,346588469,25721664058,19.5838,2.1149,-328.1152,175.0243,-1.1182,-0.814,-0.3042,13952088949,-4.949,25.5047,177.3214,42.5641,16.7432,26.8898,-141850716,-99.2023,35.0829,-0.6386,SPY
8/24/2015,159.5977083,507244300,25692063935,23.5235,2.8801,-311.8551,173.5551,-2.2008,-1.5173,-0.6836,13444844649,-10.0318,18.5337,176.8826,22.3938,8.9471,22.1891,-194998214.8,-75.441,39.8044,0.1333,SPY
8/25/2015,157.6859046,369833071,25349112048,27.1818,3.1875,-197.1066,172.0438,-3.1765,-1.9943,-1.1821,13075011578,-10.2703,17.1262,175.4867,13.2785,14.1453,30.2302,-308134317.8,-82.9208,32.5437,-0.9613,SPY
8/26/2015,163.9603264,339256986,25676743405,30.5788,3.4146,-120.6358,171.2739,-3.4041,-1.7776,-1.6265,13414268564,-6.816,34.6635,174.1746,17.1487,28.3537,39.9223,-222158717.4,-56.5771,40.0003,0.405,SPY
8/27/2015,167.7334015,274143906,25917026306,32.0171,3.4558,-54.3583,170.9367,-3.2427,-1.293,-1.9498,13688412470,-4.5712,42.5382,172.9412,27.4737,39.9222,47.2818,-90336983.48,-40.7355,44.573,0.5083,SPY
8/28/2015,167.8007778,160414352,25977181688,33.2099,3.3245,-36.1855,170.638,-3.0739,-0.8993,-2.1746,13848826822,-4.8338,42.671,171.7818,40.7847,54.0783,48.6248,-9057108.666,-40.4526,45.0564,0.3854,SPY
8/31/2015,166.3690306,163298816,25895532280,34.4274,3.2212,-40.095,170.2315,-3.0209,-0.677,-2.3439,13685528006,-6.1835,40.5264,170.692,50.4833,57.4493,48.135,-962234.3626,-46.4639,46.5886,-0.2689,SPY
9/1/2015,161.5095119,256000392,25771334070,36.2057,3.4008,-82.9588,169.4008,-3.3325,-0.7909,-2.5416,13429527614,-8.6505,34.2369,169.6676,53.4221,48.7388,47.0709,-37080831.29,-66.867,45.5925,-0.3342,SPY
9/2/2015,164.5751355,160269331,25926331384,37.6167,3.3798,-56.2914,168.9412,-3.2942,-0.6021,-2.6921,13589796945,-6.1792,40.5094,168.7046,50.1375,44.2244,48.1334,831690.7534,-53.9957,50.0749,0.2599,SPY
9/3/2015,164.7772645,152087836,25842166271,38.0508,3.3243,-30.8854,168.5447,-3.2105,-0.4147,-2.7958,13741884781,-4.0978,40.9096,167.7994,44.9867,41.9967,49.3236,-10514058.11,-53.1471,55.7092,-0.1974,SPY
9/4/2015,162.2001194,207080961,25815475836,38.851,3.3299,-65.2049,167.9404,-3.3139,-0.4145,-2.8994,13534803820,-2.5502,37.4504,166.9485,43.0615,42.9632,45.0728,-22692088.49,-63.9675,45.4565,-0.1156,SPY
9/8/2015,166.3016542,116025739,25917236115,38.4601,3.394,1.4069,167.7843,-3.0299,-0.1044,-2.9255,13650829559,4.2005,45.3679,166.7986,43.5901,45.8103,45.7108,6767177.808,-45.4545,47.3888,0.623,SPY
9/9/2015,164.0277027,149347735,25791807353,37.585,3.4596,8.4785,167.4266,-2.9544,-0.0231,-2.9313,13501481824,4.0218,42.1801,153.6181,44.9599,46.1062,46.177,-21705653.63,-52.2595,41.7448,-0.8906,SPY
9/10/2015,164.9457053,158611063,25804090365,36.7888,3.3912,17.0141,167.1903,-2.7882,0.1144,-2.9027,13660092887,0.601,43.894,153.9056,48.9419,54.9093,46.8038,-27472157.92,-37.558,44.0149,0.4343,SPY
9/11/2015,165.6952671,119691212,25915418872,36.0494,3.2867,32.6765,167.0479,-2.5665,0.2689,-2.8354,13779784099,-1.2151,45.3193,154.1874,55.0504,64.1357,54.1951,8088993.345,-17.7752,52.4759,0.5939,SPY
9/14/2015,165.0551919,79451983,25891281561,35.3015,3.147,27.8289,166.8581,-2.4146,0.3367,-2.7513,13700332116,-1.6362,44.2848,154.4635,63.5473,71.5969,65.4614,14221320.42,-29.8762,48.0274,-0.6139,SPY
9/15/2015,167.1354364,113806176,25964523159,33.9719,3.1045,80.4747,166.8845,-2.1021,0.5193,-2.6215,13814138292,0.4607,48.407,154.7341,71.9364,80.0767,62.0196,38741297.32,-12.1186,55.1451,0.6073,SPY
9/16/2015,168.5587616,99581557,26037217696,32.305,3.003,141.1748,167.044,-1.7198,0.7213,-2.4411,13913719849,4.3646,51.0743,154.9993,78.9152,85.072,58.0344,68380340.67,-2.7893,58.7458,0.66,SPY
9/17/2015,168.1881918,276046618,25825403532,30.0548,3.0057,152.8671,167.153,-1.4303,0.8087,-2.239,13637673231,2.1954,50.3445,155.5508,83.8116,86.2862,58.1426,6893593.449,-26.2336,46.5751,-0.0886,SPY
9/18/2015,165.4033844,223657456,25649844454,28.7634,3.016,38.2452,166.9863,-1.4092,0.6638,-2.073,13414015775,0.38,45.1263,156.4702,81.2918,72.5172,49.4042,-74746472.93,-53.4257,47.0419,-0.0941,SPY
9/21/2015,166.3177766,105726209,25649416412,27.5642,2.9499,44.8251,166.9227,-1.3038,0.6154,-1.9192,13519741984,2.5386,47.0664,157.3345,72.4726,58.6145,55.5002,-101485743,-44.4972,47.0687,0,SPY
9/22/2015,164.1672617,153890876,25712592667,27.0522,2.9739,-85.5733,166.6602,-1.3778,0.4331,-1.8109,13365851108,-1.2834,43.1982,158.1469,58.3185,43.8239,58.0762,-83097023.15,-70.6054,43.168,0.0105,SPY
9/23/2015,163.9132638,92790620,25692558328,26.5072,2.8679,-83.7919,166.3986,-1.4404,0.2964,-1.7368,13273060488,-0.0698,42.7512,158.9106,46.5482,37.2061,56.7138,-74394652.43,-73.2791,42.054,-0.2898,SPY
9/24/2015,163.346002,159378840,25794582845,26.5129,2.8469,-124.3012,166.1079,-1.5183,0.1748,-1.6931,13113681648,-0.9698,41.7133,159.6285,35.5832,25.7197,49.1865,-31609095.16,-78.9565,42.8791,0.2699,SPY
9/25/2015,163.2952025,155054777,25742573876,25.981,2.8365,-97.0517,165.84,-1.566,0.1016,-1.6677,12958626871,-1.4485,41.6159,160.3032,28.5614,22.7584,58.0525,-27780666.88,-79.4892,39.9781,-0.5549,SPY
9/28/2015,159.0957717,178515871,25586633783,26.336,2.9501,-207.6919,165.1977,-1.9206,-0.2023,-1.7183,12780111000,-3.6106,34.4513,170.8748,20.988,14.486,50.8243,-73306278.95,-98.0962,34.9454,-0.9063,SPY
9/29/2015,159.2397038,159045572,25557767860,26.7951,2.9093,-175.0907,164.6303,-2.165,-0.3574,-1.8076,12939156572,-4.7242,34.8652,170.6347,15.7633,10.0455,50.7244,-94450797.45,-92.2779,38.7245,-0.0676,SPY
9/30/2015,162.2114784,163452044,25688392716,26.4935,2.9283,-83.4112,164.3999,-2.0948,-0.2297,-1.8651,13102608616,-3.7656,42.8844,170.1399,12.7235,13.639,58.4078,-52951937.67,-68.7088,44.6187,0.5105,SPY
10/1/2015,162.6686745,131078964,25784124543,25.9908,2.8806,-61.1062,164.235,-1.9794,-0.0915,-1.8879,13233687580,-3.2818,44.0261,169.665,16.1093,24.6435,58.5881,-701191.9035,-65.0828,48.8775,0.0187,SPY
10/2/2015,165.098587,211003342,25992985719,24.7103,3.0323,-19.3548,164.3173,-1.6726,0.1722,-1.8449,13444690922,-0.1843,49.773,169.209,26.1383,40.1324,61.0121,87193686.66,-45.8112,57.9943,0.8849,SPY
10/5/2015,168.0364952,126320842,26091002306,23.3762,3.0419,95.4594,164.6715,-1.1789,0.5328,-1.7117,13571011764,1.0334,55.6957,168.7713,40.1025,55.5317,61.2458,146411079.5,-22.5107,60.5385,0.834,SPY
10/6/2015,167.4607668,110274530,26068724623,22.1977,2.9443,100.7675,164.9371,-0.8245,0.7098,-1.5342,13460737234,2.0062,54.3433,158.266,54.6215,68.2004,61.428,150237924.8,-27.0768,60.5915,-0.2626,SPY
10/7/2015,168.8323551,124307295,26148598673,21.3244,2.8761,129.175,165.3081,-0.428,0.885,-1.313,13585044529,3.001,57.0208,158.4701,68.7059,82.3855,58.5387,163559929.4,-3.2558,70.5358,0.217,SPY
10/8/2015,170.356342,153055231,26266492567,20.9473,2.8497,140.6129,165.7889,0.009,1.0576,-1.0486,13738099760,4.2917,59.839,158.8988,79.9,89.1139,68.3379,191652449.5,-2.3256,75.6016,0.7635,SPY
10/9/2015,170.4579411,107069240,26281092918,20.6846,2.726,131.7431,166.2336,0.3595,1.1264,-0.767,13845169000,4.3864,60.0271,159.6035,89.4566,96.8703,68.4008,190367460.3,-3.8076,74.151,-0.0379,SPY
10/12/2015,170.6188064,56395585,26305641584,20.4407,2.5827,107.3795,166.6512,0.6428,1.1278,-0.485,13901564585,7.2428,60.344,160.5105,94.3646,97.1095,74.8023,180346589.5,-2.5384,74.943,0.1176,SPY
10/13/2015,169.543549,88038718,26234292670,19.8802,2.5258,82.4546,166.9267,0.7716,1.0053,-0.2337,13813525867,6.4707,57.0868,161.3449,95.8947,93.7043,70.0574,137150070.8,-12.541,64.744,-0.1896,SPY
10/14/2015,168.7307559,99106161,26171131749,18.9374,2.4621,56.9495,167.0985,0.7989,0.8261,-0.0272,13714419706,4.019,54.6841,162.3265,93.1686,88.6921,72.1513,86913922.65,-18.8444,55.8585,-0.4611,SPY
10/15/2015,171.3215338,134142195,26304287604,18.5322,2.4719,74.6624,167.5007,1.0179,0.8361,0.1818,13848561901,5.3193,60.4048,163.2099,90.6377,89.5166,71.9243,100829277.6,-0.0648,64.3534,0.8346,SPY
10/16/2015,172.1004604,114580052,26415522254,18.4365,2.3782,91.6378,167.9388,1.24,0.8465,0.3935,13963141953,4.241,61.9597,164.1843,90.6216,93.6562,80.7313,132748467.7,-0.1222,67.1699,0.3212,SPY
10/19/2015,172.1851264,76523897,26492046151,18.3724,2.2833,91.5775,168.3432,1.4066,0.8105,0.5961,14039665850,2.4689,62.1338,165.2949,94.3701,99.9376,88.8292,158086788.4,0,67.5601,0.7016,SPY
10/20/2015,171.9649949,78448484,26481707978,18.4644,2.1982,92.6539,168.6881,1.5036,0.726,0.7776,13961217366,2.6897,61.3478,166.3974,97.3,98.3062,88.2963,150791520.3,-4.9592,65.8646,0.2016,SPY
10/21/2015,170.898204,102038033,26398742475,18.119,2.1706,70.6578,168.8986,1.4773,0.5598,0.9175,13859179333,1.2236,57.5485,167.5108,97.3615,93.8406,81.5893,107700657.7,-13.519,58.7251,-0.8224,SPY
10/22/2015,173.7429797,174911723,26544980145,18.3782,2.2369,132.1971,169.36,1.6668,0.5994,1.0674,14034091056,1.988,63.9585,168.4238,94.966,92.7513,81.2919,126811776.4,-3.268,67.2505,0.6093,SPY
10/23/2015,175.698763,144442340,26614137386,19.3209,2.2428,209.5882,169.9637,1.9523,0.7079,1.2444,14178533396,3.0746,67.5827,169.5384,93.2291,93.0954,81.585,145106194.9,-3.9269,71.9461,0.1636,SPY
10/26/2015,175.2500335,69032965,26618398681,20.1962,2.1407,164.9014,170.4671,2.118,0.6989,1.4191,14109500431,2.7144,65.9442,170.8433,93.464,94.5453,76.4972,140754669.2,-9.1691,67.9358,-0.3827,SPY
10/27/2015,174.8944365,77905770,26640933407,20.596,2.061,123.0131,170.8888,2.1952,0.6209,1.5743,14031594661,3.1561,64.6075,171.8872,92.7869,90.7201,70.4482,133348761,-14.7436,65.9002,0.3058,SPY
10/28/2015,176.9010193,135906725,26772915028,21.5423,2.0813,137.4598,171.4614,2.3908,0.6532,1.7376,14167501386,4.8422,68.4891,172.7223,92.3873,91.8963,70.2089,160190608.8,-0.3984,68.5205,0.7004,SPY
10/29/2015,176.8586864,90525498,26798535452,22.5005,1.9967,126.7801,171.9754,2.5135,0.6207,1.8928,14076975888,3.232,68.3188,173.5648,92.1143,93.7265,69.9409,164760535.1,-3.6786,69.812,0.5094,SPY
10/30/2015,176.0458933,131076942,26696758062,23.1152,1.9569,95.7975,172.3631,2.516,0.4986,2.0174,13945898946,2.2925,64.9794,174.288,93.1567,93.8473,62.6861,119268104.9,-14.381,70.0692,-0.6647,SPY
11/2/2015,178.1286755,86270811,26766831088,24.0384,1.9798,109.4275,172.9122,2.6555,0.5105,2.1451,14032169757,3.4518,69.1419,174.8952,93.6325,93.3238,68.4245,112110973.1,-1.9692,71.4676,0.8449,SPY
11/3/2015,178.6451377,95246052,26797931840,25.1864,1.9569,120.2851,173.4582,2.7758,0.5046,2.2712,14127415809,3.8846,70.0912,175.5809,93.2969,92.7197,74.8159,108886842.7,-5.4908,70.3076,0.5255,SPY
11/4/2015,178.1202089,96224477,26773064840,26.2524,1.9248,103.9734,173.9022,2.7965,0.4202,2.3763,14031191332,4.2259,67.8079,176.2491,93.0981,93.2509,67.5988,89756849.14,-12.7872,67.3978,-0.5449,SPY
11/5/2015,177.9254772,78408744,26782606645,26.814,1.9016,82.9849,174.2853,2.7653,0.3112,2.4541,13952782588,2.4073,66.9367,176.8401,91.6165,88.879,61.3257,76807257.95,-15.0849,66.6737,-0.1481,SPY
11/6/2015,177.8323447,110471473,26859817890,26.9134,1.8783,61.8932,174.6232,2.7019,0.1983,2.5036,13842311115,1.2143,66.4967,179.2039,89.1482,85.3147,54.704,89094434.1,-16.1838,64.4091,0.1613,SPY
11/9/2015,176.1728922,131008660,26845375990,26.0706,1.931,8.0632,174.7707,2.4891,-0.0116,2.5007,13711302455,0.5266,59.0485,179.1497,83.9498,77.6557,47.7091,81426362.31,-35.7642,60.3448,-0.4843,SPY
11/10/2015,176.5792888,75874602,26916945650,25.2881,1.8783,-12.3483,174.943,2.3264,-0.1395,2.4659,13787177057,0.9634,60.2235,178.9924,78.3736,72.1505,48.4539,93659191.83,-31.6004,67.1831,0.7447,SPY
11/11/2015,175.885028,67845971,26857580425,24.7189,1.8216,-32.3647,175.0327,2.117,-0.2791,2.3961,13719331086,-0.5743,57.2039,178.8414,68.3637,55.285,39.7476,71260124.09,-66.7802,58.4903,-0.8906,SPY
11/12/2015,173.4297157,121315200,26738431568,23.3032,1.868,-164.428,174.88,1.733,-0.5305,2.2635,13598015886,-1.9388,48.0314,178.6963,53.802,33.9706,29.9418,17707676,-99.7076,47.9326,-0.7411,SPY
11/13/2015,171.482399,153577050,26598628245,22.9802,1.8797,-232.8547,174.5565,1.2571,-0.8051,2.0622,13444438836,-2.5922,42.2457,178.3793,33.596,11.5323,28.2639,-50292808.07,-98.9154,43.4115,-0.8117,SPY
11/16/2015,174.0901101,117645231,26711581073,22.1447,1.9577,-151.6707,174.512,1.0778,-0.7875,1.8653,13562084067,-2.2672,50.7936,177.8208,19.3525,12.5546,35.299,-37599578.07,-63.7131,51.2667,0.9402,SPY
